,위도,경도,평균 총차량수,평균 속도,기울기
0,34.7477367,126.5345349,3347.1612903225805,99.15774193548386,1.726648
1,34.79270019,127.0472722,2324.6666666666665,102.985,-0.12165
2,34.80830556,127.1494444,3579.395833333333,103.01229166666668,-1.30385
3,34.823401,127.377338,5942.806451612903,92.8558064516129,-0.5877205
4,34.88916667,128.4127778,5427.201612903225,101.94362903225807,-0.697887
5,34.92472222,126.4977778,7704.625,90.40375,3.081408
6,34.95972222,127.6283333,6810.916666666667,91.26805555555558,-0.337373
7,34.97888889,127.5488889,3822.379032258064,95.35129032258064,-3.89778
8,34.98388889,128.3697222,7058.846774193548,96.29564516129034,-1.481236
9,35.00805556,126.4163889,328.68548387096774,100.95685483870966,0.989973
10,35.01694444,126.4563889,1706.6774193548388,102.97822580645165,1.87134
11,35.03972222,126.5166667,6610.080645161291,98.34266129032258,-0.916186
12,35.09166667,128.1725,4415.330645161291,94.7183870967742,-1.613552
13,35.13083333,126.7433333,9981.5625,90.783125,2.610233
14,35.149019,128.104573,9111.907258064515,94.94375,-0.184388
15,35.19972222,126.9327778,6381.577380952381,90.1785119047619,-0.001534
16,35.20222222,128.7980556,9484.860215053764,88.22602150537635,2.088389
17,35.22361111,128.835,9740.81182795699,93.1975806451613,-0.612858
18,35.223661,128.831584,10252.86559139785,92.37086021505378,-0.360945
19,35.23666667,126.9613889,2766.5,97.88685185185184,-0.499996
20,35.23972222,127.99,6827.459677419355,95.94298387096777,0.517533
21,35.241472,128.536533,9177.618279569891,86.91688172043011,0.049065
22,35.2425,128.9838889,14662.55376344086,77.83913978494624,0.0670092
23,35.24722222,126.9994444,2318.5,95.791875,0.975461
24,35.26,128.5141667,6553.580645161291,95.4817741935484,0.531698
25,35.265,126.9730556,5607.833333333333,95.10635416666666,0.597651
26,35.265345,126.875482,2994.296875,94.88421875,0.620177
27,35.2675,128.5161111,5121.790322580645,81.64266129032258,0.049272
28,35.270083,128.988161,6146.5161290322585,90.19741935483871,-1.543345
29,35.2725,128.6713889,14158.399193548386,90.5441129032258,-0.381007
30,35.27416667,128.4513889,12717.42741935484,89.08540322580646,-5.440052
31,35.27527778,128.6433333,15857.32258064516,81.28104838709677,-2.99268
32,35.27583333,128.9847222,11863.975806451614,76.4305241935484,0.19588
33,35.27694444,128.9788889,8296.68817204301,97.48129032258066,-0.426174
34,35.27888889,128.4288889,17643.322580645163,87.35927419354839,-0.130041
35,35.29388889,129.0072222,13025.20325203252,84.50731707317074,0.3002451
36,35.300496,128.778907,7286.516129032258,90.7525,1.094601
37,35.30694444,129.0747222,11566.645161290322,96.02080645161293,-3.15276
38,35.32138889,127.3663889,4099.1,93.612,1.18726
39,35.33242381,126.5730428,50.5,73.535,0.479266
40,35.34480083,126.7841105,3554.875,93.0925,3.933332
41,35.384807,127.234671,6139.375,93.10265625,1.91337
42,35.395,126.6844444,3815.875,82.53999999999999,-0.365164
43,35.532156,127.757144,3614.1724137931033,98.49896551724136,0.42981
44,35.54243889,126.6907667,6232.139784946236,93.30655913978497,-0.14098
45,35.55305556,127.7602778,6798.080645161291,90.32499999999996,2.77634
46,35.61166667,127.3372222,6335.590909090909,96.79022727272726,-1.4759
